	signal
2016-07-01	0
2016-07-08	0
2016-07-15	0
2016-07-22	0
2016-07-29	0
2016-08-05	0
2016-08-12	0
2016-08-19	0
2016-08-26	0
2016-09-02	0
2016-09-09	0
2016-09-16	0
2016-09-23	0
2016-09-30	0
2016-10-07	0
2016-10-14	1
2016-10-21	0
2016-10-28	1
2016-11-04	1
2016-11-11	0
2016-11-18	0
2016-11-25	0
2016-12-02	1
2016-12-09	0
2016-12-16	0
2016-12-23	0
2016-12-30	0
2017-01-06	0
2017-01-13	0
2017-01-20	0
2017-01-27	0
2017-02-03	0
2017-02-10	0
2017-02-17	0
2017-02-24	0
2017-03-03	0
2017-03-10	0
2017-03-17	0
2017-03-24	0
2017-03-31	0
2017-04-07	0
2017-04-14	1
2017-04-21	0
2017-04-28	0
2017-05-05	0
2017-05-12	0
2017-05-19	0
2017-05-26	0
2017-06-02	0
2017-06-09	0
2017-06-16	0
2017-06-23	0
2017-06-30	0
2017-07-07	0
2017-07-14	0
2017-07-21	0
2017-07-28	0
2017-08-04	0
2017-08-11	1
2017-08-18	1
2017-08-25	0
2017-09-01	0
2017-09-08	0
2017-09-15	0
2017-09-22	0
2017-09-29	0
2017-10-06	0
2017-10-13	0
2017-10-20	0
2017-10-27	0
2017-11-03	0
2017-11-10	1
2017-11-17	0
2017-11-24	0
2017-12-01	0
2017-12-08	0
2017-12-15	0
2017-12-22	0
2017-12-29	0
2018-01-05	1
2018-01-12	1
2018-01-19	1
2018-01-26	0
2018-02-02	0
2018-02-09	-1
2018-02-16	-1
2018-02-23	0
2018-03-02	1
2018-03-09	1
2018-03-16	0
2018-03-23	1
2018-03-30	1
2018-04-06	1
2018-04-13	1
2018-04-20	1
2018-04-27	1
2018-05-04	1
2018-05-11	0
2018-05-18	0
2018-05-25	0
2018-06-01	0
2018-06-08	0
2018-06-15	0
2018-06-22	1
2018-06-29	1
2018-07-06	1
2018-07-13	1
2018-07-20	1
2018-07-27	1
2018-08-03	1
2018-08-10	0
2018-08-17	1
2018-08-24	0
2018-08-31	0
2018-09-07	1
2018-09-14	1
2018-09-21	0
2018-09-28	0
2018-10-05	0
2018-10-12	1
2018-10-19	1
2018-10-26	1
2018-11-02	1
2018-11-09	1
2018-11-16	1
2018-11-23	1
2018-11-30	1
2018-12-07	1
2018-12-14	1
2018-12-21	1
2018-12-28	1
2019-01-04	1
2019-01-11	1
2019-01-18	1
2019-01-25	1
2019-02-01	1
2019-02-08	1
2019-02-15	1
2019-02-22	0
2019-03-01	0
2019-03-08	1
2019-03-15	1
2019-03-22	1
2019-03-29	0
2019-04-05	1
2019-04-12	0
2019-04-19	1
2019-04-26	1
2019-05-03	0
2019-05-10	1
2019-05-17	1
2019-05-24	0
2019-05-31	1
2019-06-07	0
2019-06-14	0
2019-06-21	0
2019-06-28	0
2019-07-05	0
2019-07-12	0
2019-07-19	0
2019-07-26	0
2019-08-02	0
2019-08-09	1
2019-08-16	1
2019-08-23	1
2019-08-30	1
2019-09-06	0
2019-09-13	0
2019-09-20	0
2019-09-27	1
2019-10-04	1
2019-10-11	0
2019-10-18	0
2019-10-25	0
2019-11-01	0
2019-11-08	0
2019-11-15	0
2019-11-22	0
2019-11-29	0
2019-12-06	0
2019-12-13	0
2019-12-20	0
2019-12-27	0
2020-01-03	0
2020-01-10	0
2020-01-17	0
2020-01-24	0
2020-01-31	-1
2020-02-07	0
2020-02-14	0
2020-02-21	-1
2020-02-28	1
2020-03-06	1
2020-03-13	1
2020-03-20	1
2020-03-27	1
2020-04-03	1
2020-04-10	1
2020-04-17	1
2020-04-24	1
2020-05-01	1
2020-05-08	1
2020-05-15	1
2020-05-22	1
2020-05-29	1
2020-06-05	1
2020-06-12	1
2020-06-19	1
2020-06-26	1
2020-07-03	1
2020-07-10	1
2020-07-17	1
2020-07-24	1
2020-07-31	1
2020-08-07	1
2020-08-14	1
2020-08-21	1
2020-08-28	1
2020-09-04	-1
2020-09-11	-1
2020-09-18	1
2020-09-25	-1
2020-10-02	-1
2020-10-09	-1
2020-10-16	-1
2020-10-23	-1
2020-10-30	-1
2020-11-06	-1
2020-11-13	-1
2020-11-20	-1
2020-11-27	-1
2020-12-04	-1
2020-12-11	-1
2020-12-18	-1
2020-12-25	-1
2021-01-01	1
